WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [50, 100, 150, 500, 1000]
Parameter[arraySubSize]: [1, 4, 7, 15]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, SORT______, DITHER____, REVERSE___, REVERSE_FR, REVERSE_BA]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_05_01, DPQ_19_08_09]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		50	1	IDENT_____	SPIRAL	BASELINE 	0.0000169	0.0000160	0.0000009	109	0.0000150	0.0000171
>> Best		50	1	IDENT_____	SPIRAL	DPQ_11   	0.0003469	0.0003391	0.0000079	109	0.0003259	0.0003668
>> Best		50	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0003058	0.0003047	0.0000011	109	0.0003015	0.0003082
>> Best		50	1	IDENT_____	SPIRAL	DPQ_19_08_09	0.0002998	0.0002986	0.0000012	109	0.0002970	0.0003022
>> Best		50	1	IDENT_____	STAGGER	BASELINE 	0.0000169	0.0000160	0.0000009	109	0.0000150	0.0000171
>> Best		50	1	IDENT_____	STAGGER	DPQ_11   	0.0002957	0.0002924	0.0000033	109	0.0002869	0.0003008
>> Best		50	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0003285	0.0003262	0.0000022	109	0.0003225	0.0003337
>> Best		50	1	IDENT_____	STAGGER	DPQ_19_08_09	0.0003331	0.0003309	0.0000023	109	0.0003260	0.0003412
>> Best		50	1	IDENT_____	SAWTOTH	BASELINE 	0.0000169	0.0000160	0.0000009	109	0.0000149	0.0000171
>> Best		50	1	IDENT_____	SAWTOTH	DPQ_11   	0.0000516	0.0000509	0.0000007	109	0.0000501	0.0000520
>> Best		50	1	IDENT_____	SAWTOTH	DPQ_19_05_01	0.0000391	0.0000382	0.0000009	109	0.0000372	0.0000394
>> Best		50	1	IDENT_____	SAWTOTH	DPQ_19_08_09	0.0000377	0.0000369	0.0000008	109	0.0000359	0.0000385
>> Best		50	1	IDENT_____	_RANDOM	BASELINE 	0.0000170	0.0000160	0.0000009	109	0.0000150	0.0000171
>> Best		50	1	IDENT_____	_RANDOM	DPQ_11   	0.0000516	0.0000509	0.0000007	109	0.0000501	0.0000519
>> Best		50	1	IDENT_____	_RANDOM	DPQ_19_05_01	0.0000391	0.0000382	0.0000009	109	0.0000372	0.0000394
>> Best		50	1	IDENT_____	_RANDOM	DPQ_19_08_09	0.0000377	0.0000369	0.0000008	109	0.0000359	0.0000385
>> Best		50	1	IDENT_____	PLATEAU	BASELINE 	0.0000170	0.0000161	0.0000009	109	0.0000149	0.0000171
>> Best		50	1	IDENT_____	PLATEAU	DPQ_11   	0.0000553	0.0000547	0.0000006	109	0.0000541	0.0000558
>> Best		50	1	IDENT_____	PLATEAU	DPQ_19_05_01	0.0000439	0.0000430	0.0000008	109	0.0000420	0.0000447
>> Best		50	1	IDENT_____	PLATEAU	DPQ_19_08_09	0.0000454	0.0000448	0.0000006	109	0.0000442	0.0000457
>> Best		50	1	IDENT_____	SHUFFLE	BASELINE 	0.0000169	0.0000160	0.0000009	109	0.0000149	0.0000171
>> Best		50	1	IDENT_____	SHUFFLE	DPQ_11   	0.0000923	0.0000916	0.0000007	109	0.0000907	0.0000924
>> Best		50	1	IDENT_____	SHUFFLE	DPQ_19_05_01	0.0000438	0.0000430	0.0000008	109	0.0000421	0.0000447
>> Best		50	1	IDENT_____	SHUFFLE	DPQ_19_08_09	0.0000454	0.0000448	0.0000006	109	0.0000442	0.0000456
>> Best		50	1	REVERSE___	SPIRAL	BASELINE 	0.0000169	0.0000160	0.0000009	109	0.0000149	0.0000171
