Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
50	1	IDENT_____	SPIRAL	 0.0000159	 0.0003179	 0.0002867	 0.0002823	
50	1	IDENT_____	STAGGER	 0.0000159	 0.0002743	 0.0003088	 0.0003124	
50	1	IDENT_____	SAWTOTH	 0.0000158	 0.0000350	 0.0000223	 0.0000209	
50	1	IDENT_____	_RANDOM	 0.0000159	 0.0000349	 0.0000222	 0.0000208	
50	1	IDENT_____	PLATEAU	 0.0000158	 0.0000389	 0.0000270	 0.0000290	
50	1	IDENT_____	SHUFFLE	 0.0000158	 0.0000756	 0.0000271	 0.0000290	
50	1	REVERSE___	SPIRAL	 0.0000158	 0.0002536	 0.0003126	 0.0003096	
50	1	REVERSE___	STAGGER	 0.0000158	 0.0002772	 0.0003968	 0.0003597	
50	1	REVERSE___	SAWTOTH	 0.0000159	 0.0000348	 0.0000223	 0.0000208	
50	1	REVERSE___	_RANDOM	 0.0000158	 0.0000350	 0.0000224	 0.0000209	
50	1	REVERSE___	PLATEAU	 0.0000159	 0.0000389	 0.0000279	 0.0000287	
50	1	REVERSE___	SHUFFLE	 0.0000158	 0.0001896	 0.0000554	 0.0000571	
50	1	SORT______	SPIRAL	 0.0000159	 0.0000755	 0.0000269	 0.0000289	
50	1	SORT______	STAGGER	 0.0000159	 0.0000753	 0.0000245	 0.0000248	
50	1	SORT______	SAWTOTH	 0.0000158	 0.0000350	 0.0000224	 0.0000209	
50	1	SORT______	_RANDOM	 0.0000158	 0.0000366	 0.0000223	 0.0000209	
50	1	SORT______	PLATEAU	 0.0000158	 0.0000390	 0.0000271	 0.0000290	
50	1	SORT______	SHUFFLE	 0.0000159	 0.0000755	 0.0000270	 0.0000289	
50	1	DITHER____	SPIRAL	 0.0000158	 0.0003136	 0.0003481	 0.0003316	
50	1	DITHER____	STAGGER	 0.0000158	 0.0002980	 0.0003177	 0.0003147	
50	1	DITHER____	SAWTOTH	 0.0000159	 0.0002238	 0.0002405	 0.0002480	
50	1	DITHER____	_RANDOM	 0.0000159	 0.0002229	 0.0002406	 0.0002463	
50	1	DITHER____	PLATEAU	 0.0000159	 0.0002206	 0.0002511	 0.0002524	
50	1	DITHER____	SHUFFLE	 0.0000158	 0.0001222	 0.0001497	 0.0001492	
50	1	REVERSE___	SPIRAL	 0.0000159	 0.0002537	 0.0003131	 0.0003099	
50	1	REVERSE___	STAGGER	 0.0000159	 0.0002767	 0.0003956	 0.0003614	
50	1	REVERSE___	SAWTOTH	 0.0000158	 0.0000350	 0.0000224	 0.0000209	
50	1	REVERSE___	_RANDOM	 0.0000158	 0.0000349	 0.0000223	 0.0000209	
50	1	REVERSE___	PLATEAU	 0.0000158	 0.0000390	 0.0000279	 0.0000287	
50	1	REVERSE___	SHUFFLE	 0.0000159	 0.0001891	 0.0000553	 0.0000570	
50	1	REVERSE_FR	SPIRAL	 0.0000158	 0.0002963	 0.0002887	 0.0002825	
50	1	REVERSE_FR	STAGGER	 0.0000158	 0.0002661	 0.0002916	 0.0002984	
50	1	REVERSE_FR	SAWTOTH	 0.0000158	 0.0000350	 0.0000223	 0.0000209	
50	1	REVERSE_FR	_RANDOM	 0.0000159	 0.0000349	 0.0000223	 0.0000208	
50	1	REVERSE_FR	PLATEAU	 0.0000159	 0.0000406	 0.0001434	 0.0000345	
50	1	REVERSE_FR	SHUFFLE	 0.0000159	 0.0001654	 0.0001138	 0.0000512	
50	1	REVERSE_BA	SPIRAL	 0.0000158	 0.0003299	 0.0003847	 0.0003897	
50	1	REVERSE_BA	STAGGER	 0.0000159	 0.0002825	 0.0003695	 0.0003085	
50	1	REVERSE_BA	SAWTOTH	 0.0000158	 0.0000349	 0.0000223	 0.0000209	
50	1	REVERSE_BA	_RANDOM	 0.0000159	 0.0000349	 0.0000223	 0.0000208	
50	1	REVERSE_BA	PLATEAU	 0.0000159	 0.0000388	 0.0000270	 0.0000289	
50	1	REVERSE_BA	SHUFFLE	 0.0000158	 0.0001210	 0.0002399	 0.0001784	
50	4	IDENT_____	SPIRAL	 0.0000159	 0.0003762	 0.0002710	 0.0002656	
50	4	IDENT_____	STAGGER	 0.0000159	 0.0002935	 0.0002683	 0.0002714	
50	4	IDENT_____	SAWTOTH	 0.0000159	 0.0002719	 0.0002055	 0.0001960	
50	4	IDENT_____	_RANDOM	 0.0000158	 0.0002380	 0.0002225	 0.0002182	
50	4	IDENT_____	PLATEAU	 0.0000158	 0.0000430	 0.0000270	 0.0000290	
50	4	IDENT_____	SHUFFLE	 0.0000158	 0.0002614	 0.0002593	 0.0002574	
50	4	REVERSE___	SPIRAL	 0.0000158	 0.0002416	 0.0003213	 0.0003211	
50	4	REVERSE___	STAGGER	 0.0000158	 0.0002949	 0.0003226	 0.0003128	
50	4	REVERSE___	SAWTOTH	 0.0000158	 0.0002836	 0.0002244	 0.0002036	
50	4	REVERSE___	_RANDOM	 0.0000159	 0.0002230	 0.0001940	 0.0001932	
50	4	REVERSE___	PLATEAU	 0.0000158	 0.0000483	 0.0000331	 0.0000349	
50	4	REVERSE___	SHUFFLE	 0.0000158	 0.0002866	 0.0003229	 0.0003249	
50	4	SORT______	SPIRAL	 0.0000158	 0.0000755	 0.0000271	 0.0000290	
50	4	SORT______	STAGGER	 0.0000158	 0.0000778	 0.0000299	 0.0000297	
50	4	SORT______	SAWTOTH	 0.0000158	 0.0001101	 0.0000284	 0.0000288	
50	4	SORT______	_RANDOM	 0.0000159	 0.0001074	 0.0000273	 0.0000276	
50	4	SORT______	PLATEAU	 0.0000158	 0.0000431	 0.0000270	 0.0000290	
50	4	SORT______	SHUFFLE	 0.0000158	 0.0000756	 0.0000270	 0.0000290	
50	4	DITHER____	SPIRAL	 0.0000158	 0.0003451	 0.0002842	 0.0002782	
50	4	DITHER____	STAGGER	 0.0000159	 0.0002946	 0.0002709	 0.0002715	
50	4	DITHER____	SAWTOTH	 0.0000159	 0.0002961	 0.0002739	 0.0002753	
50	4	DITHER____	_RANDOM	 0.0000158	 0.0002795	 0.0002252	 0.0002383	
50	4	DITHER____	PLATEAU	 0.0000158	 0.0002276	 0.0002498	 0.0002550	
50	4	DITHER____	SHUFFLE	 0.0000159	 0.0002772	 0.0002733	 0.0002634	
50	4	REVERSE___	SPIRAL	 0.0000158	 0.0002414	 0.0003228	 0.0003195	
