
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_18_11_21	DPQ_11	RADIX	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

200 256  STAGGER REVERSE_FR	   0.000026	   0.002268	   0.002285	   0.002313	   0.001660	   0.005326	   0.003089	     99.27 % 
200 256  SAWTOTH REVERSE_FR	   0.000021	   0.001092	   0.001097	   0.001023	   0.001394	   0.000722	   0.001438	     99.56 % 
200 256  _RANDOM REVERSE_FR	   0.000026	   0.002288	   0.002237	   0.002218	   0.002052	   0.005203	   0.003075	    102.25 % ..
200 256  PLATEAU REVERSE_FR	   0.000021	   0.001090	   0.001116	   0.001024	   0.001391	   0.000721	   0.001435	     97.72 % 
200 256  SHUFFLE REVERSE_FR	   0.000021	   0.001105	   0.001105	   0.001050	   0.001428	   0.001210	   0.001968	     99.94 % 
200 256  STAGGER REVERSE_BA	   0.000021	   0.001919	   0.001780	   0.001920	   0.001675	   0.005254	   0.003026	    107.82 % .!.
200 256  SAWTOTH REVERSE_BA	   0.000021	   0.001393	   0.001089	   0.001281	   0.000719	   0.000800	   0.001435	    127.91 % .!!!.
200 256  _RANDOM REVERSE_BA	   0.000021	   0.002325	   0.002211	   0.002267	   0.001904	   0.005207	   0.003083	    105.13 % .!.
200 256  PLATEAU REVERSE_BA	   0.000021	   0.001387	   0.001089	   0.001272	   0.000721	   0.000803	   0.001433	    127.42 % .!!!.
200 256  SHUFFLE REVERSE_BA	   0.000021	   0.001404	   0.001098	   0.001341	   0.000866	   0.001214	   0.001990	    127.94 % .!!!.
200 256  STAGGER SORT______	   0.000021	   0.000720	   0.000414	   0.000445	   0.000565	   0.000160	   0.000576	    173.68 % .!!!!.
200 256  SAWTOTH SORT______	   0.000021	   0.000719	   0.000414	   0.000439	   0.000563	   0.000159	   0.000574	    173.84 % .!!!!.
200 256  _RANDOM SORT______	   0.000021	   0.000760	   0.000411	   0.000454	   0.000569	   0.000159	   0.000570	    184.77 % .!!!!.
200 256  PLATEAU SORT______	   0.000021	   0.000720	   0.000414	   0.000439	   0.000567	   0.000160	   0.000571	    173.92 % .!!!!.
200 256  SHUFFLE SORT______	   0.000021	   0.000723	   0.000409	   0.000449	   0.000562	   0.000160	   0.000571	    176.71 % .!!!!.
200 256  STAGGER DITHER____	   0.000021	   0.002523	   0.002505	   0.002457	   0.001638	   0.005248	   0.003018	    100.74 % ..
200 256  SAWTOTH DITHER____	   0.000021	   0.001087	   0.000891	   0.000841	   0.001012	   0.005267	   0.001774	    122.01 % .!!!.
200 256  _RANDOM DITHER____	   0.000021	   0.002258	   0.002281	   0.002329	   0.002179	   0.005225	   0.003055	     98.98 % 
200 256  PLATEAU DITHER____	   0.000021	   0.001087	   0.000889	   0.000846	   0.001011	   0.005279	   0.001775	    122.35 % .!!!.
200 256  SHUFFLE DITHER____	   0.000021	   0.000907	   0.000612	   0.000649	   0.000920	   0.005796	   0.001731	    148.24 % .!!!.
lreps: 81 with reps: 10

500 1  STAGGER IDENT_____	   0.000043	   0.007035	   0.006953	   0.006636	$   0.001968	   0.001641	   0.002877	    101.17 % ..
500 1  SAWTOTH IDENT_____	   0.000042	   0.000341	   0.000403	   0.000398	   0.000165	   0.000271	   0.002264	     84.59 % 
500 1  _RANDOM IDENT_____	   0.000041	   0.000345	   0.000403	   0.000396	   0.000167	   0.000270	   0.002283	     85.62 % 
500 1  PLATEAU IDENT_____	   0.000041	   0.000352	   0.000413	   0.000410	   0.000305	   0.000271	   0.002275	     85.22 % 
500 1  SHUFFLE IDENT_____	   0.000041	   0.001578	   0.001397	   0.001285	   0.000304	   0.000271	   0.001960	    112.93 % .!!.
500 1  STAGGER REVERSE___	   0.000042	   0.006061	   0.006316	$!  0.008910	   0.002151	   0.001961	   0.005688	     95.96 % 
500 1  SAWTOTH REVERSE___	   0.000041	   0.000342	   0.000403	   0.000402	   0.000165	   0.000270	   0.002276	     84.82 % 
500 1  _RANDOM REVERSE___	   0.000042	   0.000341	   0.000402	   0.000397	   0.000168	   0.000270	   0.002276	     84.76 % 
500 1  PLATEAU REVERSE___	   0.000042	   0.000354	   0.000407	   0.000399	   0.000453	   0.000238	   0.002287	     86.98 % 
500 1  SHUFFLE REVERSE___	   0.000042	   0.002565	   0.002019	   0.002153	   0.000535	   0.000582	   0.004661	    127.05 % .!!!.
500 1  STAGGER REVERSE_FR	   0.000042	   0.006604	   0.006344	   0.006274	$   0.002368	   0.001797	   0.004296	    104.10 % ..
500 1  SAWTOTH REVERSE_FR	   0.000042	   0.000341	   0.000404	   0.000397	   0.000165	   0.000270	   0.002285	     84.50 % 
500 1  _RANDOM REVERSE_FR	   0.000042	   0.000342	   0.000402	   0.000399	   0.000165	   0.000271	   0.002274	     85.01 % 
500 1  PLATEAU REVERSE_FR	   0.000042	   0.000358	   0.000413	   0.000410	   0.001727	   0.000234	   0.002296	     86.49 % 
500 1  SHUFFLE REVERSE_FR	   0.000041	   0.003024	   0.003285	   0.003035	   0.000420	   0.001618	   0.003361	     92.06 % 
500 1  STAGGER REVERSE_BA	   0.000042	   0.006841	   0.006534	   0.006997	   0.002028	   0.001806	   0.004196	    104.70 % ..
500 1  SAWTOTH REVERSE_BA	   0.000042	   0.000342	   0.000403	   0.000398	   0.000164	   0.000269	   0.002267	     84.74 % 
500 1  _RANDOM REVERSE_BA	   0.000042	   0.000342	   0.000403	   0.000397	   0.000167	   0.000270	   0.002272	     84.83 % 
500 1  PLATEAU REVERSE_BA	   0.000042	   0.000349	   0.000412	   0.000408	   0.000303	   0.000271	   0.002256	     84.71 % 
500 1  SHUFFLE REVERSE_BA	   0.000042	   0.002776	   0.002557	   0.002547	   0.002044	   0.001813	   0.003285	    108.57 % .!.
500 1  STAGGER SORT______	   0.000042	   0.001626	   0.001401	   0.001288	   0.000306	   0.000271	   0.001956	    116.03 % .!!.
500 1  SAWTOTH SORT______	   0.000042	   0.000342	   0.000403	   0.000397	   0.000165	   0.000271	   0.002260	     84.96 % 
500 1  _RANDOM SORT______	   0.000041	   0.000344	   0.000409	   0.000397	   0.000166	   0.000272	   0.002272	     84.15 % 
500 1  PLATEAU SORT______	   0.000042	   0.000351	   0.000410	   0.000407	   0.000304	   0.000271	   0.002278	     85.42 % 
500 1  SHUFFLE SORT______	   0.000042	   0.001582	   0.001397	   0.001285	   0.000304	   0.000272	   0.001960	    113.23 % .!!.
500 1  STAGGER DITHER____	   0.000042	   0.006325	   0.005817	   0.006060	   0.005395	   0.008980	   0.004407	    108.74 % .!.
500 1  SAWTOTH DITHER____	   0.000042	   0.001518	   0.001574	   0.001503	   0.002720	   0.008096	   0.008829	     96.40 % 
500 1  _RANDOM DITHER____	   0.000042	   0.001502	   0.001567	   0.001492	   0.002734	   0.008032	   0.008825	     95.91 % 
500 1  PLATEAU DITHER____	   0.000042	   0.001499	   0.001615	   0.001484	   0.002737	   0.007964	   0.008785	     92.80 % 
500 1  SHUFFLE DITHER____	   0.000042	   0.001918	   0.001638	   0.001545	   0.003388	   0.009863	   0.004269	    117.11 % .!!.
500 4  STAGGER IDENT_____	   0.000041	   0.005600	   0.005336	   0.005527	   0.004254	   0.003896	   0.005999	    104.94 % ..
500 4  SAWTOTH IDENT_____	   0.000042	   0.001189	   0.001216	   0.001174	   0.002261	   0.008130	   0.009013	     97.80 % 
500 4  _RANDOM IDENT_____	   0.000042	   0.001548	   0.001477	   0.001347	   0.002556	   0.008111	   0.008958	    104.85 % ..
500 4  PLATEAU IDENT_____	   0.000041	   0.000371	   0.000409	   0.000413	   0.000304	   0.000272	   0.002261	     90.55 % 
500 4  SHUFFLE IDENT_____	   0.000042	   0.004708	   0.004673	   0.004874	   0.005281	   0.010864	   0.008044	    100.74 % ..
500 4  STAGGER REVERSE___	   0.000042	   0.005540	   0.005210	   0.005412	   0.004552	   0.004222	   0.008598	    106.33 % .!.
500 4  SAWTOTH REVERSE___	   0.000042	   0.001212	   0.001220	   0.001225	   0.002619	   0.008099	   0.009013	     99.33 % 
500 4  _RANDOM REVERSE___	   0.000042	   0.001227	   0.001254	   0.001214	   0.002652	   0.008099	   0.008938	     97.84 % 
500 4  PLATEAU REVERSE___	   0.000042	   0.000360	   0.000413	   0.000418	   0.000444	   0.000245	   0.002317	     87.02 % 
500 4  SHUFFLE REVERSE___	   0.000041	   0.006384	   0.005883	   0.005993	   0.005658	   0.011874	   0.009440	    108.53 % .!.
500 4  STAGGER REVERSE_FR	   0.000042	   0.005729	   0.005778	   0.006166	   0.004451	   0.004078	   0.007233	     99.15 % 
500 4  SAWTOTH REVERSE_FR	   0.000042	   0.001161	   0.001190	   0.001221	   0.002965	   0.008138	   0.009080	     97.60 % 
500 4  _RANDOM REVERSE_FR	   0.000042	   0.001278	   0.001303	   0.001245	   0.002548	   0.008104	   0.008959	     98.05 % 
500 4  PLATEAU REVERSE_FR	   0.000042	   0.000376	   0.000419	   0.000421	   0.001730	   0.000236	   0.002329	     89.74 % 
500 4  SHUFFLE REVERSE_FR	   0.000042	   0.004650	   0.004485	   0.004688	   0.006114	   0.011438	   0.008784	    103.66 % ..
500 4  STAGGER REVERSE_BA	   0.000042	   0.005108	   0.005249	   0.005512	   0.004541	   0.004223	   0.007328	     97.31 % 
500 4  SAWTOTH REVERSE_BA	   0.000042	   0.001299	   0.001228	   0.001203	   0.002245	   0.008050	   0.009088	    105.77 % .!.
500 4  _RANDOM REVERSE_BA	   0.000042	   0.001437	   0.001387	   0.001290	   0.002842	   0.008087	   0.008959	    103.60 % ..
500 4  PLATEAU REVERSE_BA	   0.000042	   0.000368	   0.000410	   0.000412	   0.000303	   0.000271	   0.002269	     89.67 % 
500 4  SHUFFLE REVERSE_BA	   0.000042	   0.005796	   0.005703	   0.005802	   0.005349	   0.011337	   0.008849	    101.64 % ..
500 4  STAGGER SORT______	   0.000042	   0.001612	   0.001370	   0.001320	   0.000308	   0.000274	   0.001968	    117.66 % .!!.
500 4  SAWTOTH SORT______	   0.000042	   0.001360	   0.001201	   0.001220	   0.000266	   0.000255	   0.002260	    113.20 % .!!.
500 4  _RANDOM SORT______	   0.000042	   0.001333	   0.001182	   0.001185	   0.000276	   0.000261	   0.002248	    112.78 % .!!.
500 4  PLATEAU SORT______	   0.000042	   0.000369	   0.000410	   0.000416	   0.000303	   0.000272	   0.002268	     90.02 % 
500 4  SHUFFLE SORT______	   0.000042	   0.001584	   0.001400	   0.001280	   0.000305	   0.000271	   0.001973	    113.15 % .!!.
500 4  STAGGER DITHER____	   0.000042	   0.005658	   0.005278	   0.005590	   0.004251	   0.003900	   0.005931	    107.21 % .!.
500 4  SAWTOTH DITHER____	   0.000042	   0.001932	   0.001949	   0.001888	   0.002883	   0.008015	   0.009181	     99.09 % 
500 4  _RANDOM DITHER____	   0.000042	   0.001988	   0.002084	   0.001879	   0.003466	   0.008082	   0.009128	     95.39 % 
500 4  PLATEAU DITHER____	   0.000042	   0.001502	   0.001607	   0.001467	   0.002723	   0.008012	   0.008887	     93.46 % 
500 4  SHUFFLE DITHER____	   0.000042	   0.004885	   0.004839	   0.004956	   0.005401	   0.010897	   0.008227	    100.94 % ..
500 16  STAGGER IDENT_____	   0.000042	   0.006103	   0.006110	   0.006442	   0.007655	   0.009655	   0.007626	     99.88 % 
500 16  SAWTOTH IDENT_____	   0.000042	   0.003651	   0.003596	   0.003539	   0.007960	   0.008047	   0.008569	    101.51 % ..
500 16  _RANDOM IDENT_____	   0.000042	   0.004282	   0.004340	   0.004237	   0.003857	   0.008059	   0.009390	     98.68 % 
500 16  PLATEAU IDENT_____	   0.000041	   0.000499	   0.000437	   0.000436	   0.000304	   0.000270	   0.002258	    114.21 % .!!.
500 16  SHUFFLE IDENT_____	   0.000042	   0.003043	   0.003114	   0.003026	   0.008081	   0.011606	   0.006744	     97.70 % 
500 16  STAGGER REVERSE___	   0.000042	   0.006055	   0.006134	   0.006232	   0.007908	   0.010208	   0.009713	     98.72 % 
500 16  SAWTOTH REVERSE___	   0.000042	   0.004039	   0.004002	   0.003926	   0.008333	   0.008366	   0.009902	    100.92 % ..
500 16  _RANDOM REVERSE___	   0.000041	   0.004173	   0.004307	   0.004072	   0.003853	   0.008091	   0.009230	     96.89 % 
500 16  PLATEAU REVERSE___	   0.000042	   0.000498	   0.000467	   0.000488	   0.000444	   0.000259	   0.002360	    106.51 % .!.
500 16  SHUFFLE REVERSE___	   0.000042	   0.004505	!  0.004826	   0.004958	   0.007598	   0.012550	   0.008927	     93.36 % 
500 16  STAGGER REVERSE_FR	   0.000042	   0.006242	   0.006352	   0.006360	   0.007727	   0.010081	   0.008633	     98.27 % 
500 16  SAWTOTH REVERSE_FR	   0.000042	   0.003827	   0.003916	   0.003735	   0.009113	   0.008271	   0.009114	     97.73 % 
500 16  _RANDOM REVERSE_FR	   0.000042	   0.004374	   0.004441	   0.004227	   0.003714	   0.008026	   0.009307	     98.49 % 
500 16  PLATEAU REVERSE_FR	   0.000042	   0.000526	   0.000476	   0.000464	   0.001734	   0.000251	   0.002368	    110.44 % .!!.
500 16  SHUFFLE REVERSE_FR	   0.000042	   0.003653	   0.003647	   0.003792	   0.008298	   0.011983	   0.007842	    100.17 % ..
500 16  STAGGER REVERSE_BA	   0.000042	   0.005808	   0.005792	   0.005764	   0.007780	   0.009852	   0.008728	    100.27 % ..
500 16  SAWTOTH REVERSE_BA	   0.000042	   0.004799	   0.004951	   0.004519	   0.009404	   0.008077	   0.009410	     96.93 % 
500 16  _RANDOM REVERSE_BA	   0.000042	   0.004512	   0.004427	$   0.004308	   0.004018	   0.008098	   0.009386	    101.92 % ..
500 16  PLATEAU REVERSE_BA	   0.000042	   0.000500	   0.000438	   0.000436	   0.000303	   0.000271	   0.002269	    114.14 % .!!.
500 16  SHUFFLE REVERSE_BA	   0.000042	   0.004534	   0.004607	   0.004547	   0.008055	   0.012234	   0.007925	     98.41 % 
500 16  STAGGER SORT______	   0.000042	   0.001584	   0.001386	   0.001281	   0.000305	   0.000273	   0.001966	    114.23 % .!!.
500 16  SAWTOTH SORT______	   0.000042	   0.002051	   0.001535	   0.001463	   0.000302	   0.000270	   0.002071	    133.57 % .!!!.
500 16  _RANDOM SORT______	   0.000042	   0.002111	   0.001819	   0.001712	   0.000304	   0.000270	   0.002102	    116.08 % .!!.
500 16  PLATEAU SORT______	   0.000042	   0.000504	   0.000435	   0.000435	   0.000304	   0.000271	   0.002254	    115.79 % .!!.
500 16  SHUFFLE SORT______	   0.000042	   0.001596	   0.001388	   0.001287	   0.000306	   0.000271	   0.001972	    115.00 % .!!.
500 16  STAGGER DITHER____	   0.000042	   0.006020	   0.005706	   0.006116	   0.007685	   0.009863	   0.007607	    105.50 % .!.
500 16  SAWTOTH DITHER____	   0.000042	   0.004706	   0.004484	   0.004384	   0.003906	   0.008058	   0.008756	    104.95 % ..
500 16  _RANDOM DITHER____	   0.000042	   0.004577	   0.004418	   0.004476	   0.004076	   0.008000	   0.009478	    103.59 % ..
500 16  PLATEAU DITHER____	   0.000042	   0.001938	   0.001958	   0.001923	   0.002707	   0.008033	   0.008777	     98.97 % 
500 16  SHUFFLE DITHER____	   0.000041	   0.003288	   0.003313	   0.003264	   0.004882	   0.011738	   0.007057	     99.26 % 
500 64  STAGGER IDENT_____	   0.000042	   0.005886	   0.005563	   0.006009	   0.011018	   0.008578	   0.008952	    105.82 % .!.
500 64  SAWTOTH IDENT_____	   0.000042	   0.005685	   0.005735	   0.005670	   0.004782	   0.004361	   0.006829	     99.12 % 
500 64  _RANDOM IDENT_____	   0.000042	   0.006254	   0.006221	   0.006287	   0.005902	   0.008172	   0.009502	    100.53 % ..
500 64  PLATEAU IDENT_____	   0.000042	   0.001258	   0.000490	   0.000537	   0.000304	   0.000271	   0.002152	    256.99 % .!!!!!.
500 64  SHUFFLE IDENT_____	   0.000041	   0.002543	   0.002333	   0.002311	   0.005631	   0.005163	   0.005825	    109.03 % .!.
500 64  STAGGER REVERSE___	   0.000042	   0.006474	   0.006165	   0.006487	   0.011748	   0.008771	   0.009584	    105.01 % .!.
500 64  SAWTOTH REVERSE___	   0.000042	   0.005396	   0.005460	   0.005492	   0.005093	   0.004747	   0.009295	     98.83 % 
500 64  _RANDOM REVERSE___	   0.000042	   0.006181	   0.006251	   0.006355	   0.006256	   0.008200	   0.009386	     98.88 % 
500 64  PLATEAU REVERSE___	   0.000042	   0.001322	   0.000687	   0.000775	   0.000459	   0.000319	   0.002602	    192.34 % .!!!!.
500 64  SHUFFLE REVERSE___	   0.000042	!  0.004532	!  0.004896	!  0.004859	   0.005345	   0.005145	   0.008169	     92.56 % 
500 64  STAGGER REVERSE_FR	   0.000042	   0.006078	   0.006043	   0.006763	   0.011368	   0.008840	   0.009474	    100.56 % ..
500 64  SAWTOTH REVERSE_FR	   0.000042	   0.005947	   0.005962	   0.006136	   0.005899	   0.005589	   0.008109	     99.75 % 
500 64  _RANDOM REVERSE_FR	   0.000042	   0.006006	   0.005872	   0.006024	   0.005946	   0.008199	   0.009423	    102.27 % ..
500 64  PLATEAU REVERSE_FR	   0.000042	   0.002149	   0.001281	   0.001278	   0.001750	   0.000312	   0.002599	    167.74 % .!!!!.
500 64  SHUFFLE REVERSE_FR	   0.000042	   0.003538	   0.003761	   0.003579	   0.005692	!  0.007995	   0.006969	     94.06 % 
500 64  STAGGER REVERSE_BA	   0.000042	   0.006624	   0.006504	   0.006552	   0.011366	   0.008576	   0.009196	    101.85 % ..
500 64  SAWTOTH REVERSE_BA	   0.000042	   0.006069	   0.005868	   0.005929	   0.006290	   0.005915	   0.008056	    103.43 % ..
500 64  _RANDOM REVERSE_BA	   0.000042	   0.006453	   0.006323	   0.006363	   0.006295	   0.008138	   0.009471	    102.07 % ..
500 64  PLATEAU REVERSE_BA	   0.000042	   0.001271	   0.000489	   0.000536	   0.000305	   0.000272	   0.002150	    260.08 % .!!!!!.
500 64  SHUFFLE REVERSE_BA	   0.000042	   0.003764	   0.003414	   0.003432	   0.005643	!  0.008216	   0.006899	    110.24 % .!!.
500 64  STAGGER SORT______	   0.000041	   0.001615	   0.001390	   0.001320	   0.000306	   0.000272	   0.001961	    116.19 % .!!.
500 64  SAWTOTH SORT______	   0.000042	   0.001706	   0.001455	   0.001364	   0.000306	   0.000273	   0.001961	    117.24 % .!!.
500 64  _RANDOM SORT______	   0.000042	   0.002126	   0.001458	   0.001408	   0.000306	   0.000271	   0.001961	    145.85 % .!!!.
500 64  PLATEAU SORT______	   0.000042	   0.001265	   0.000488	   0.000535	   0.000303	   0.000271	   0.002144	    259.03 % .!!!!!.
500 64  SHUFFLE SORT______	   0.000042	   0.001573	   0.001394	   0.001293	   0.000305	   0.000271	   0.001968	    112.84 % .!!.
500 64  STAGGER DITHER____	   0.000042	   0.005854	   0.005551	   0.006038	   0.011090	   0.008566	   0.009047	    105.46 % .!.
500 64  SAWTOTH DITHER____	   0.000042	   0.005644	   0.005668	   0.005754	   0.006259	   0.008122	   0.008015	     99.58 % 
500 64  _RANDOM DITHER____	   0.000042	   0.006365	   0.006141	   0.006556	   0.005906	   0.008191	   0.009394	    103.64 % ..
500 64  PLATEAU DITHER____	   0.000042	   0.002552	   0.001880	   0.001800	   0.003032	   0.008182	   0.008478	    135.74 % .!!!.
500 64  SHUFFLE DITHER____	   0.000042	   0.002884	   0.002622	   0.002598	   0.004377	   0.011674	   0.005873	    110.00 % .!!.
500 256  STAGGER IDENT_____	   0.000042	   0.006263	   0.006311	   0.006560	   0.006843	   0.009511	   0.008920	     99.24 % 
500 256  SAWTOTH IDENT_____	   0.000042	   0.006663	   0.006542	   0.006682	   0.001925	   0.001632	   0.003883	    101.85 % ..
500 256  _RANDOM IDENT_____	   0.000042	   0.006326	   0.006209	   0.006662	   0.006200	   0.008636	   0.009426	    101.89 % ..
500 256  PLATEAU IDENT_____	   0.000042	   0.001910	   0.001328	   0.001363	   0.000305	   0.000272	   0.002110	    143.83 % .!!!.
500 256  SHUFFLE IDENT_____	   0.000042	   0.002098	   0.001819	   0.001799	!  0.003422	!  0.003188	   0.004049	    115.32 % .!!.
500 256  STAGGER REVERSE___	   0.000042	   0.006259	   0.005876	   0.006134	   0.005882	   0.009613	   0.009500	    106.52 % .!.
500 256  SAWTOTH REVERSE___	   0.000042	   0.007528	   0.007231	   0.007083	   0.002135	   0.001946	   0.006738	    104.10 % ..
500 256  _RANDOM REVERSE___	   0.000042	   0.006308	   0.006237	$   0.006957	   0.006839	   0.008680	   0.009582	    101.14 % ..
500 256  PLATEAU REVERSE___	   0.000042	   0.002212	   0.001992	   0.001955	   0.000488	   0.000552	   0.003525	    111.08 % .!!.
500 256  SHUFFLE REVERSE___	   0.000042	   0.003507	   0.003023	!  0.003860	   0.003181	!  0.003147	   0.006629	    116.01 % .!!.
500 256  STAGGER REVERSE_FR	   0.000042	   0.006406	   0.006417	   0.006403	   0.006520	   0.009499	   0.009214	     99.83 % 
500 256  SAWTOTH REVERSE_FR	   0.000042	$   0.006819	   0.006468	   0.006644	   0.002041	   0.002525	   0.005456	    105.42 % .!.
500 256  _RANDOM REVERSE_FR	   0.000041	   0.006523	   0.006371	   0.006465	   0.006223	   0.008605	   0.009453	    102.39 % ..
500 256  PLATEAU REVERSE_FR	   0.000042	   0.003530	   0.002734	   0.002696	   0.000418	   0.001618	   0.003504	    129.10 % .!!!.
500 256  SHUFFLE REVERSE_FR	   0.000042	   0.003278	   0.003445	   0.003272	!  0.003920	   0.003606	   0.005544	     95.13 % 
500 256  STAGGER REVERSE_BA	   0.000042	   0.006115	   0.006206	   0.006358	   0.007721	   0.009443	   0.009152	     98.53 % 
500 256  SAWTOTH REVERSE_BA	   0.000042	   0.006549	   0.006513	   0.006690	   0.002050	   0.003045	   0.005216	    100.56 % ..
500 256  _RANDOM REVERSE_BA	   0.000042	   0.006326	   0.006060	   0.006495	   0.006521	   0.008667	   0.009515	    104.39 % ..
500 256  PLATEAU REVERSE_BA	   0.000042	   0.001923	   0.001332	   0.001378	   0.001658	   0.001407	   0.002126	    144.41 % .!!!.
500 256  SHUFFLE REVERSE_BA	   0.000042	   0.003083	   0.002816	   0.002836	   0.003903	   0.003512	   0.005398	    109.48 % .!.
500 256  STAGGER SORT______	   0.000042	   0.001584	   0.001393	   0.001286	   0.000305	   0.000271	   0.001964	    113.72 % .!!.
500 256  SAWTOTH SORT______	   0.000042	   0.001631	   0.001399	   0.001283	   0.000307	   0.000271	   0.001961	    116.53 % .!!.
500 256  _RANDOM SORT______	   0.000042	   0.001663	   0.001409	   0.001308	   0.000306	   0.000273	   0.001963	    117.99 % .!!.
500 256  PLATEAU SORT______	   0.000042	   0.001901	   0.001341	   0.001369	   0.000305	   0.000271	   0.002097	    141.72 % .!!!.
500 256  SHUFFLE SORT______	   0.000042	   0.001577	   0.001398	   0.001281	   0.000304	   0.000271	   0.001956	    112.80 % .!!.
500 256  STAGGER DITHER____	   0.000042	   0.006413	   0.006424	   0.006348	   0.007038	   0.009378	   0.008813	     99.83 % 
500 256  SAWTOTH DITHER____	   0.000042	   0.006808	   0.006411	   0.006583	   0.005608	   0.008763	   0.006214	    106.19 % .!.
500 256  _RANDOM DITHER____	   0.000042	   0.006492	   0.006361	   0.006494	   0.006384	$   0.008722	   0.009464	    102.07 % ..
500 256  PLATEAU DITHER____	   0.000042	   0.003027	   0.002500	   0.002606	   0.003978	   0.008717	   0.007318	    121.08 % .!!!.
500 256  SHUFFLE DITHER____	   0.000042	   0.002345	   0.002082	   0.002081	   0.003820	   0.011348	   0.004910	    112.63 % .!!.
lreps: 41 with reps: 9

1000 1  STAGGER IDENT_____	   0.000085	   0.014745	   0.014763	   0.015307	   0.003767	   0.003233	   0.005512	     99.88 % 
1000 1  SAWTOTH IDENT_____	   0.000060	   0.000701	   0.000799	   0.000795	   0.000337	   0.000457	   0.004218	     87.83 % 
1000 1  _RANDOM IDENT_____	   0.000060	   0.000703	   0.000799	   0.000795	   0.000338	   0.000452	   0.004219	     87.91 % 
1000 1  PLATEAU IDENT_____	   0.000060	   0.000692	   0.000810	   0.000806	   0.000607	   0.000479	   0.004207	     85.38 % 
1000 1  SHUFFLE IDENT_____	   0.000060	   0.003587	   0.003205	   0.002900	   0.000605	   0.000481	   0.003605	    111.91 % .!!.
1000 1  STAGGER REVERSE___	   0.000060	   0.014185	   0.014326	   0.014334	   0.004241	   0.003886	   0.010322	     99.01 % 
1000 1  SAWTOTH REVERSE___	   0.000060	   0.000702	   0.000799	   0.000795	   0.000339	   0.000454	   0.004214	     87.90 % 
1000 1  _RANDOM REVERSE___	   0.000060	   0.000698	   0.000800	   0.000793	   0.000337	   0.000451	   0.004229	     87.35 % 
1000 1  PLATEAU REVERSE___	   0.000060	   0.000684	   0.000799	   0.000794	   0.000895	   0.000392	   0.004232	     85.53 % 
1000 1  SHUFFLE REVERSE___	   0.000060	   0.005590	   0.004593	   0.004783	   0.001069	   0.001117	   0.008077	    121.71 % .!!!.
1000 1  STAGGER REVERSE_FR	   0.000060	   0.014794	   0.014558	   0.014608	   0.003996	   0.003559	   0.007804	    101.62 % ..
1000 1  SAWTOTH REVERSE_FR	   0.000060	   0.000701	   0.000798	   0.000794	   0.000339	   0.000454	   0.004238	     87.81 % 
1000 1  _RANDOM REVERSE_FR	   0.000060	   0.000703	   0.000799	   0.000795	   0.000338	   0.000453	   0.004210	     88.08 % 
1000 1  PLATEAU REVERSE_FR	   0.000060	   0.000684	   0.000807	   0.000807	   0.003414	   0.000410	   0.004242	     84.83 % 
1000 1  SHUFFLE REVERSE_FR	   0.000060	   0.005692	   0.005806	   0.005628	   0.000856	   0.003201	   0.005874	     98.04 % 
1000 1  STAGGER REVERSE_BA	   0.000060	   0.014554	   0.014858	   0.014537	   0.004010	   0.003582	   0.007848	     97.96 % 
1000 1  SAWTOTH REVERSE_BA	   0.000060	   0.000703	   0.000796	   0.000793	   0.000337	   0.000454	   0.004228	     88.31 % 
1000 1  _RANDOM REVERSE_BA	   0.000060	   0.000702	   0.000805	   0.000791	   0.000336	   0.000455	   0.004198	     87.18 % 
1000 1  PLATEAU REVERSE_BA	   0.000060	   0.000687	   0.000806	   0.000806	   0.000605	   0.000479	   0.004187	     85.24 % 
1000 1  SHUFFLE REVERSE_BA	   0.000060	   0.006143	   0.005854	   0.005637	   0.004007	   0.003624	   0.005955	    104.93 % ..
1000 1  STAGGER SORT______	   0.000060	   0.003691	   0.003177	   0.002902	   0.000607	   0.000473	   0.003609	    116.17 % .!!.
1000 1  SAWTOTH SORT______	   0.000060	   0.000703	   0.000805	   0.000793	   0.000337	   0.000454	   0.004237	     87.40 % 
1000 1  _RANDOM SORT______	   0.000060	   0.000703	   0.000799	   0.000794	   0.000337	   0.000454	   0.004186	     87.98 % 
1000 1  PLATEAU SORT______	   0.000060	   0.000686	   0.000806	   0.000806	   0.000609	   0.000478	   0.004173	     85.15 % 
1000 1  SHUFFLE SORT______	   0.000060	   0.003594	   0.003175	   0.002897	   0.000606	   0.000480	   0.003600	    113.18 % .!!.
1000 1  STAGGER DITHER____	   0.000060	   0.013912	   0.013866	   0.013774	   0.010646	   0.016919	   0.010100	    100.33 % ..
1000 1  SAWTOTH DITHER____	   0.000060	   0.003035	   0.003047	   0.002867	   0.003987	   0.013415	   0.019033	     99.60 % 
1000 1  _RANDOM DITHER____	   0.000060	   0.003030	   0.003065	   0.002874	   0.003975	   0.013441	   0.019386	     98.88 % 
